area_type,availability,location
Built-up Area,Ready To Move,R.T. Nagar
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,18-Dec,Hebbal
Built-up Area,Ready To Move,HRBR Layout
Carpet Area,Ready To Move,Bannerghatta Road
Super built-up Area,19-Dec,Kanakapura
Super built-up Area,Ready To Move,Tumkur Road
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Vasanthapura
Built-up Area,Ready To Move,Kundalahalli
Super built-up Area,Ready To Move,Mysore Road
Carpet Area,18-Jul,Hosahalli
Plot Area,Ready To Move,Hegde Nagar
Super built-up Area,Ready To Move,Jalahalli
Super built-up Area,Ready To Move,Bellandur
Super built-up Area,Ready To Move,Jalahalli West
Super built-up Area,Ready To Move,Marathahalli
Super built-up Area,Ready To Move,Kambipura
Super built-up Area,Ready To Move,GM Palaya
Built-up Area,Ready To Move,Singasandra
Super built-up Area,Ready To Move,near Ramanashree California resort
Built-up Area,Ready To Move,Malleshwaram
Super built-up Area,18-Aug,Mahadevpura
Plot Area,Ready To Move,"6th block banashankari 3rd stage, 100 feet ORR"
Carpet Area,Ready To Move,Chikkalasandra
Super built-up Area,Ready To Move,Jalahalli East
Super built-up Area,Ready To Move,6th Phase JP Nagar
Super built-up Area,Ready To Move,Haralur Road
Super built-up Area,Ready To Move,Hennur Road
Super built-up Area,Ready To Move,Poornapragna Housing Society Layout
Built-up Area,Ready To Move,Arekere
Super built-up Area,Ready To Move,Hosakerehalli
Super built-up Area,Ready To Move,Sarjapur
Super built-up Area,Ready To Move,Hebbal
Built-up Area,18-Aug,Huskur
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,20-Oct,Kanakpura Road
Super built-up Area,Ready To Move,Bommasandra
Built-up Area,18-Mar,Haralur Road
Super built-up Area,Ready To Move,Nagondanahalli
Super built-up Area,Ready To Move,Horamavu Agara
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Super built-up Area,Ready To Move,Mahadevpura
Super built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Yelahanka
Built-up Area,Ready To Move,Indira Nagar
Super built-up Area,Ready To Move,Bisuvanahalli
Built-up Area,Ready To Move,Thanisandra
Super built-up Area,Ready To Move,Shanthala Nagar
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Super built-up Area,18-Apr,Shantiniketan Layout
Super built-up Area,18-Dec,JP Nagar
Built-up Area,Ready To Move,Herohalli
Super built-up Area,Ready To Move,Teachers Colony
Built-up Area,18-Mar,Bettahalsoor
Super built-up Area,18-Dec,Srinivasa Nagar
Built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Langford Town
Plot Area,Ready To Move,Sulthangunta
Plot Area,Ready To Move,Hormavu
Super built-up Area,Ready To Move,Bannerghatta Road
Plot Area,Ready To Move,Byrathi Village
Super built-up Area,Ready To Move,Kodichikkanahalli
Plot Area,Ready To Move,OMBR Layout
Super built-up Area,Ready To Move,Marathahalli
Super built-up Area,Ready To Move,Ambedkar Colony
Super built-up Area,18-May,Akshaya Nagar
Plot Area,Ready To Move,Brookefield
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Lingadheeranahalli
Super built-up Area,Ready To Move,Kaggadasapura
Super built-up Area,19-Dec,Hoodi
Built-up Area,Ready To Move,Bannerghatta Road
Super built-up Area,Ready To Move,Varthur Road
Plot Area,Ready To Move,Anjappa Layout
Built-up Area,Ready To Move,Avalahalli
Super built-up Area,Ready To Move,Prakruthi Nagar
Super built-up Area,Ready To Move,Surabhi Layout
Super built-up Area,18-Apr,Sadaramangala
Plot Area,17-Aug,Anjanapura
Super built-up Area,Ready To Move,Abbigere
Plot Area,Ready To Move,Tindlu
Built-up Area,18-Dec,Electronic City
Built-up Area,Ready To Move,Maruthi Sevanagar
Super built-up Area,18-Dec,JP Nagar
Super built-up Area,Ready To Move,Kothanur
Plot Area,Ready To Move,B Narayanapura
Built-up Area,18-Jul,Electronic City Phase II
Built-up Area,19-Mar,Hennur Road
Super built-up Area,19-Aug,Dommasandra
Super built-up Area,18-Apr,Kammasandra
Super built-up Area,Ready To Move,Green Garden Layout
Super built-up Area,18-Sep,Hebbal
Super built-up Area,Ready To Move,Chandapura
Super built-up Area,Ready To Move,Koramangala
Super built-up Area,Ready To Move,Begur Road
Super built-up Area,18-Sep,Whitefield
Super built-up Area,Ready To Move,Silver Springs Layout
Super built-up Area,Ready To Move,Gubbalala
Super built-up Area,Ready To Move,Kengeri
Built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,20-Jun,Dairy Circle
Super built-up Area,Ready To Move,Bannerghatta Road
Built-up Area,Ready To Move,Hulimavu
Super built-up Area,Ready To Move,Electronic City
Super built-up Area,Ready To Move,Budigere
Built-up Area,Ready To Move,Hoysalanagar
Plot Area,Ready To Move,Parappana Agrahara
Built-up Area,Ready To Move,Jakkur
Plot Area,Ready To Move,Jeevan bima nagar
Plot Area,Ready To Move,Raja Rajeshwari Nagar
Super built-up Area,Ready To Move,Narayana Nagar 1st Block
Built-up Area,Ready To Move,Haralur Road
Super built-up Area,Ready To Move,KSRTC Layout
Super built-up Area,18-Feb,Panathur
Built-up Area,Ready To Move,Kaval Byrasandra
Super built-up Area,Ready To Move,Sarjapur
Super built-up Area,17-Oct,Ramagondanahalli
Super built-up Area,Ready To Move,Hosakerehalli
Super built-up Area,Ready To Move,Banashankari
Super built-up Area,Ready To Move,Kengeri Satellite Town
Super built-up Area,18-Apr,EPIP Zone
Super built-up Area,Ready To Move,Whitefield
Built-up Area,Ready To Move,P&T Colony
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Cunningham Road
Super built-up Area,Ready To Move,Anekal
Built-up Area,Ready To Move,New Gurappana Palya
Super built-up Area,Ready To Move,Mahadevpura
Plot Area,Ready To Move,Chelekare
Super built-up Area,Ready To Move,Ambedkar Colony
Plot Area,Ready To Move,Palanahalli
Super built-up Area,18-Dec,Whitefield
Super built-up Area,Ready To Move,Hegde Nagar
Super built-up Area,Ready To Move,Jakkur
Super built-up Area,18-Dec,Electronic City Phase II
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,Ready To Move,Vadarpalya
Super built-up Area,Ready To Move,Kudlu
Plot Area,Ready To Move,Shivanagar
Super built-up Area,Ready To Move,Hulimavu
Plot Area,18-Nov,Varthur Road
Super built-up Area,18-Aug,5th Phase JP Nagar
Super built-up Area,Ready To Move,Uttarahalli
Super built-up Area,Ready To Move,V.V Puram
Super built-up Area,Ready To Move,Yeshwanthpur
Super built-up Area,Ready To Move,Electronic City
Built-up Area,Ready To Move,Old Airport Road
Super built-up Area,Ready To Move,Kundalahalli
Plot Area,Ready To Move,Sarjapur
Super built-up Area,Ready To Move,Koramangala
Super built-up Area,Ready To Move,Marathahalli
Plot Area,Ready To Move,Sector 3 HSR Layout
Super built-up Area,Ready To Move,Vishwapriya Layout
Super built-up Area,20-Dec,Banashankari Stage VI
Super built-up Area,Ready To Move,Battarahalli
Built-up Area,Ready To Move,HMT Layout
Built-up Area,Ready To Move,Basavanagara
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,Jalahalli
Super built-up Area,Ready To Move,Hosakerehalli
Super built-up Area,Ready To Move,Cox Town
Super built-up Area,Ready To Move,Kammasandra
Super built-up Area,Ready To Move,Kaggadasapura
Super built-up Area,Ready To Move,Thanisandra
Built-up Area,Ready To Move,Mylasandra
Super built-up Area,Ready To Move,HSR Layout
Super built-up Area,Ready To Move,Gottigere
Super built-up Area,Ready To Move,Koramangala
Super built-up Area,Ready To Move,Marathahalli
Plot Area,Ready To Move,Vidyaranyapura
Plot Area,Ready To Move,Nagondanahalli
Super built-up Area,18-Oct,Bannerghatta Road
Super built-up Area,19-Feb,Bannerghatta Road
Super built-up Area,Ready To Move,Thanisandra
Built-up Area,Ready To Move,Kaggadasapura
Built-up Area,Ready To Move,Kalasipalya
Super built-up Area,Ready To Move,Kathriguppe
Super built-up Area,Ready To Move,Gottigere
Super built-up Area,Ready To Move,Electronic City
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,Ready To Move,Tumkur Road
Super built-up Area,Ready To Move,Begur Road
Super built-up Area,18-Dec,JP Nagar
Super built-up Area,Ready To Move,Haralur Road
Super built-up Area,Ready To Move,7th Phase JP Nagar
Built-up Area,Ready To Move,Arekere
Super built-up Area,Ready To Move,ITI Layout
Built-up Area,Ready To Move,Padmanabhanagar
Plot Area,Ready To Move,HBR Layout
Super built-up Area,Ready To Move,Richmond Town
Built-up Area,Ready To Move,Kasavanhalli
Plot Area,18-Apr,4 Bedroom Farm House in Bagalur
Super built-up Area,18-Jul,Bhoganhalli
Super built-up Area,Ready To Move,Vittasandra
Super built-up Area,17-Jul,Anandapura
Built-up Area,Ready To Move,Hennur Road
Super built-up Area,18-Aug,Chandapura
Built-up Area,Ready To Move,Yelahanka New Town
Super built-up Area,Ready To Move,Hebbal
Super built-up Area,Ready To Move,Narayanapura
Super built-up Area,Ready To Move,Sahakara Nagar
Built-up Area,18-Dec,Electronic City
Super built-up Area,18-Nov,manyata park
Super built-up Area,Ready To Move,Varthur
Super built-up Area,Ready To Move,Rachenahalli
Built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,20-Dec,Yeshwanthpur
Super built-up Area,Ready To Move,Panathur
Super built-up Area,Ready To Move,Yelahanka
Built-up Area,Ready To Move,Kalyan nagar
Super built-up Area,21-Oct,Kanakpura Road
Built-up Area,20-Dec,Whitefield
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,Ready To Move,Belathur
Built-up Area,Ready To Move,Vasanthapura
Built-up Area,Ready To Move,Hebbal
Super built-up Area,18-Apr,Electronic City
Super built-up Area,18-May,Kanakpura Road
Built-up Area,Ready To Move,TC Palaya
Plot Area,Ready To Move,Nagarbhavi
Super built-up Area,Ready To Move,Sadashiva Nagar
Super built-up Area,Ready To Move,Kanakpura Road
Super built-up Area,Ready To Move,Yelachenahalli
Super built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,Ready To Move,Kadugodi
Plot Area,Ready To Move,Shirdi Sai Layout
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,Bisuvanahalli
Super built-up Area,18-Jun,1st Block Jayanagar
Super built-up Area,18-Jun,8th Phase JP Nagar
Super built-up Area,22-Dec,Bannerghatta Road
Super built-up Area,Ready To Move,Mallasandra
Built-up Area,Ready To Move,Marathahalli
Built-up Area,Ready To Move,Brookefield
Super built-up Area,Ready To Move,Kodbisanhalli
Plot Area,Ready To Move,Sathya Sai Layout
Super built-up Area,Ready To Move,Kothannur
Plot Area,Ready To Move,Vijayanagar
Super built-up Area,Ready To Move,Kasturi Nagar
Super built-up Area,Ready To Move,Talaghattapura
Plot Area,Ready To Move,Raja Rajeshwari Nagar
Plot Area,Ready To Move,Indiranagar HAL 2nd Stage
Super built-up Area,Ready To Move,Electronics City Phase 1
Built-up Area,Ready To Move,Subramanyapura
Built-up Area,Ready To Move,Kodichikkanahalli
Super built-up Area,Ready To Move,Magadi Road
Plot Area,Ready To Move,Vishwanatha Nagenahalli
Built-up Area,Ready To Move,Yeshwanthpur
Super built-up Area,Ready To Move,KR Puram
Super built-up Area,18-Apr,Electronic City
Built-up Area,19-Dec,Uttarahalli
Built-up Area,Ready To Move,Kodigehaali
Super built-up Area,Ready To Move,Singapura Village
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Super built-up Area,Ready To Move,Battarahalli
Super built-up Area,Ready To Move,Hosa Road
Super built-up Area,Ready To Move,Thigalarapalya
Built-up Area,Ready To Move,Arekere
Super built-up Area,Ready To Move,Electronic City
Super built-up Area,Ready To Move,Hosur Road
Built-up Area,Ready To Move,Uttarahalli
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,18-May,Electronic City Phase II
Super built-up Area,21-Jan,Kanakpura Road
Plot Area,Ready To Move,Bendiganahalli
Built-up Area,Ready To Move,Hosakerehalli Layout
Super built-up Area,18-Jun,Chandapura
Super built-up Area,18-Sep,Chandapura
Built-up Area,Ready To Move,Hosur Road
Plot Area,Ready To Move,Basaveshwara Nagar
Super built-up Area,Ready To Move,Gunjur
Super built-up Area,Ready To Move,Hennagara
Plot Area,Ready To Move,TC Palaya
Built-up Area,Ready To Move,Ramamurthy Nagar
Super built-up Area,Ready To Move,Ferrar Nagar
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,17-Mar,Varthur
Plot Area,Ready To Move,Varthur
Built-up Area,18-Feb,Whitefield
Super built-up Area,18-Aug,Magadi Road
Super built-up Area,Ready To Move,Green Glen Layout
Super built-up Area,Ready To Move,Subramanyapura
Super built-up Area,Ready To Move,Hennur Road
Super built-up Area,Ready To Move,Kengeri Satellite Town
Super built-up Area,21-Dec,Kanakpura Road
Super built-up Area,Ready To Move,BAGUR
Plot Area,Ready To Move,Electronic City Phase II
Plot Area,Ready To Move,8th block Koramangala
Built-up Area,18-Apr,Sarjapur Road
Super built-up Area,Ready To Move,Harlur
Built-up Area,Ready To Move,Thubarahalli
Super built-up Area,Ready To Move,Whitefield
Super built-up Area,Ready To Move,M.G Road
Super built-up Area,Ready To Move,Jigani
Super built-up Area,Ready To Move,Mahadevpura
Super built-up Area,Ready To Move,Sarjapur Road
Built-up Area,Ready To Move,Marathahalli
Super built-up Area,Ready To Move,Byatarayanapura
Built-up Area,Ready To Move,Bannerghatta Road
Super built-up Area,Ready To Move,Jakkur
Super built-up Area,Ready To Move,Kambipura
Super built-up Area,18-Mar,Naganathapura
Built-up Area,Ready To Move,Srinivasa Nagar
Super built-up Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Basavanagara
Super built-up Area,Ready To Move,Horamavu Banaswadi
Super built-up Area,18-Dec,Thanisandra
Super built-up Area,Ready To Move,Bellandur
Built-up Area,Ready To Move,Konanakunte
Super built-up Area,19-Mar,Hosa Road
Super built-up Area,Ready To Move,Marathahalli
Super built-up Area,Ready To Move,Ambedkar Nagar
Super built-up Area,Ready To Move,Uttarahalli
Super built-up Area,Ready To Move,Lakshminarayana Pura
Super built-up Area,19-Jun,Hebbal
Super built-up Area,Ready To Move,1st Phase JP Nagar
Super built-up Area,Ready To Move,Hosakerehalli
Plot Area,Ready To Move,5th Phase JP Nagar
Plot Area,Ready To Move,Ramamurthy Nagar
Built-up Area,Ready To Move,Kasavanhalli
Super built-up Area,Ready To Move,Whitefield
Built-up Area,Ready To Move,Attibele
Built-up Area,18-Mar,Kundalahalli
Super built-up Area,Ready To Move,Kaverappa Layout
Super built-up Area,Ready To Move,NGR Layout
Plot Area,Ready To Move,Kammanahalli
Super built-up Area,Ready To Move,Whitefield
Built-up Area,Ready To Move,Kasavanhalli
Super built-up Area,17-Oct,Divya Unnathi Layout
Super built-up Area,Ready To Move,Koramangala
Built-up Area,Ready To Move,Vasantha Vallabha Nagar
Super built-up Area,Ready To Move,Sahakara Nagar
Plot Area,Ready To Move,Yelahanka
Super built-up Area,Ready To Move,Uttarahalli
Super built-up Area,18-May,Hosa Road
Plot Area,Ready To Move,Marathahalli
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Super built-up Area,Ready To Move,Koramangala
Super built-up Area,Ready To Move,Kammasandra
Super built-up Area,18-Oct,Chandapura
Plot Area,Ready To Move,Kothannur
Super built-up Area,Ready To Move,sapthagiri Layout
Super built-up Area,Ready To Move,Brookefield
Super built-up Area,18-Dec,Seegehalli
Super built-up Area,Ready To Move,Rajaji Nagar
Built-up Area,Ready To Move,Sarjapur
Super built-up Area,Ready To Move,BEML Layout
Super built-up Area,Ready To Move,NGR Layout
Super built-up Area,20-Dec,Varthur
Built-up Area,Ready To Move,Alur
Super built-up Area,Ready To Move,Haralur Road
Super built-up Area,Ready To Move,Devarabisanahalli
Super built-up Area,Ready To Move,Sarjapur Road
Super built-up Area,Ready To Move,Uttarahalli
Built-up Area,Ready To Move,Whitefield
Plot Area,Ready To Move,Uttarahalli
Plot Area,Ready To Move,Ramamurthy Nagar
Built-up Area,Ready To Move,Giri Nagar
Super built-up Area,Ready To Move,Marathahalli
Built-up Area,Ready To Move,Electronics City Phase 1
Super built-up Area,18-Apr,Jakkur
Super built-up Area,Ready To Move,Rachenahalli
Super built-up Area,Ready To Move,Thanisandra
Super built-up Area,Ready To Move,7th Phase JP Nagar
Super built-up Area,Ready To Move,Marathahalli
Super built-up Area,Ready To Move,NRI Layout
Super built-up Area,Ready To Move,Hennur Road
Built-up Area,Ready To Move,Sidedahalli
Super built-up Area,18-Jul,Hosa Road
Super built-up Area,Ready To Move,Sarjapur
Plot Area,Ready To Move,Dwarka Nagar
Plot Area,Ready To Move,Rajaji Nagar
Super built-up Area,Ready To Move,Yeshwanthpur
Super built-up Area,19-Jan,Mysore Road
Built-up Area,Ready To Move,Hoodi
Plot Area,Ready To Move,Chikkabanavar
Plot Area,18-Aug,ITPL
Built-up Area,Ready To Move,Somasundara Palya
Super built-up Area,Ready To Move,Hegde Nagar
Super built-up Area,Ready To Move,Raja Rajeshwari Nagar
Super built-up Area,18-Jul,Haralur Road
Super built-up Area,Ready To Move,Indira Nagar
Super built-up Area,Ready To Move,Harlur
Super built-up Area,Ready To Move,ITPL
